ID category distance answer rating RT native problem
subject_16 sandwich 2 food 1 4626 yes No
subject_16 buffle 2 Cow 2 11165 yes No
subject_16 bird 4 animal 1 4488 yes No
subject_16 cow1 1 Cow 1 4949 yes No
subject_16 car 5 object 6 9818 yes No
subject_16 deer 3 mammal 2 5290 yes No
subject_17 apple2 1 apple 1 4367 yes No
subject_17 sandwich 2 food 2 3070 yes No
subject_17 deer 3 animal 3 4210 yes No
subject_17 car 5 none 9 8713 yes No
subject_17 buffle 2 animal 4 3986 yes No
subject_17 bird 4 animal 2 4141 yes No
subject_17 cow1 1 cow 1 3825 yes No
subject_18 apple2 1 apple 1 4980 yes No
subject_18 sandwich 2 food 1 5431 yes No
subject_18 buffle 2 cows 1 3421 yes No
subject_18 cow1 1 cows 1 3097 yes No
subject_18 car 5 possessions 6 9190 yes No
subject_18 bird 4 wildlife 1 4604 yes No
subject_18 deer 3 wildlife 1 6955 yes No
subject_19 apple2 1 apple 1 6189 yes No
subject_19 sandwich 2 food 1 6689 yes No
subject_19 buffle 2 cattle 2 7354 yes No
subject_19 cow1 1 cows 1 5086 yes No
subject_19 car 5 none 9 5675 yes No
subject_19 bird 4 animals 1 3744 yes No
subject_19 deer 3 animals 1 8565 yes No
subject_20 apple2 1 apple 1 4593 yes No
subject_20 sandwich 2 food 1 3095 yes No
subject_20 bird 4 animal 1 4351 yes No
subject_20 buffle 2 bull 2 4805 yes No
subject_20 cow1 1 cow 1 3308 yes No
subject_20 car 5 transportation 8 15443 yes No
subject_20 deer 3 mammal 1 8716 yes No
subject_21 apple2 1 apple 1 8313 yes No
subject_21 sandwich 2 food 1 4761 yes No
subject_21 car 5 none 9 12417 yes No
subject_21 buffle 2 animal 2 5815 yes No
subject_21 bird 4 animal 7 16193 yes No
subject_21 deer 3 animal 2 8296 yes No
subject_21 cow1 1 cow 1 7008 yes No
subject_22 apple2 1 apple 9 3528 yes No
subject_22 sandwich 2 food 9 4717 yes No
subject_22 bird 4 animals 1 5297 yes No
subject_22 cow1 1 cows 1 5133 yes No
subject_22 buffle 2 mammals 1 12085 yes No
subject_22 car 5 none 9 8952 yes No
subject_22 deer 3 herbivores 1 12386 yes No
subject_23 apple2 1 apple 1 3271 yes No
subject_23 sandwich 2 food 2 5031 yes No
subject_23 buffle 2 cow 2 3975 yes No
subject_23 car 5 transportation 7 8008 yes No
subject_23 bird 4 animal 1 3649 yes No
subject_23 deer 3 animal 1 19511 yes No
subject_23 cow1 1 cow 1 3861 yes No
subject_24 apple2 1 apple 1 8506 yes No
subject_24 sandwich 2 food 1 2454 yes No
subject_24 car 5 none 9 5362 yes No
subject_24 deer 3 animal 1 4310 yes No
subject_24 cow1 1 cow 1 2663 yes No
subject_24 bird 4 animal 1 3156 yes No
subject_24 buffle 2 animal 1 5415 yes No
subject_25 apple2 1 apple 1 5558 yes No
subject_25 sandwich 2 food 1 6648 yes No
subject_25 buffle 2 animal 1 5082 yes No
subject_25 car 5 none 9 21473 yes No
subject_25 deer 3 mammal 3 9634 yes No
subject_25 bird 4 animal 2 5493 yes No
subject_25 cow1 1 cow 1 3650 yes No
subject_26 apple2 1 apple 1 6161 yes No
subject_26 sandwich 2 food 1 5931 yes No
subject_26 car 5 thing 1 5800 yes No
subject_26 cow1 1 animal 1 4317 yes No
subject_26 bird 4 animal 1 4536 yes No
subject_26 buffle 2 animal 1 3456 yes No
subject_26 deer 3 animal 1 8534 yes No
subject_27 apple2 1 apple 1 6139 yes No
subject_27 sandwich 2 food 2 3776 yes No
subject_27 bird 4 animal 3 11790 yes No
subject_27 buffle 2 mammal 3 13256 yes No
subject_27 cow1 1 cow 1 5049 yes No
subject_27 car 5 asset 6 27610 yes No
subject_27 deer 3 mammal 2 7270 yes No
subject_28 apple2 1 apple 1 2869 yes No
subject_28 sandwich 2 food 1 4075 yes No
subject_28 buffle 2 animal 1 4238 yes No
subject_28 car 5 object 9 4417 yes No
subject_28 deer 3 animal 1 3624 yes No
subject_28 bird 4 animal 1 2476 yes No
subject_28 cow1 1 cow 1 2147 yes No
subject_29 apple2 1 apple 1 3116 yes No
subject_29 sandwich 2 food 2 2766 yes No
subject_29 cow1 1 cow 1 3014 yes No
subject_29 buffle 2 cattle 3 4263 yes No
subject_29 car 5 heavy 7 7592 yes No
subject_29 deer 3 animal 3 3846 yes No
subject_29 bird 4 animal 2 2630 yes No
subject_30 apple2 1 apple 1 5217 yes No
subject_30 sandwich 2 food 1 6151 yes No
subject_30 car 5 things 3 5322 yes No
subject_30 buffle 2 cattle 1 4695 yes No
subject_30 bird 4 animal 1 3553 yes No
subject_30 cow1 1 cow 1 6877 yes No
subject_30 deer 3 animal 1 4974 yes No
subject_31 apple2 1 Apple 1 3950 yes No
subject_31 sandwich 2 Food 1 2629 yes No
subject_31 cow1 1 Cow 1 3798 yes No
subject_31 bird 4 Animal 1 4613 yes No
subject_31 deer 3 Animal 1 6386 yes No
subject_31 buffle 2 Animal 1 5222 yes No
subject_31 car 5 None 9 10567 yes No
subject_32 apple2 1 apple 1 5901 yes No
subject_32 sandwich 2 food 1 6082 yes No
subject_32 deer 3 animal 2 8576 yes No
subject_32 buffle 2 animal 6 14461 yes No
subject_32 car 5 none 9 28769 yes No
subject_32 bird 4 animal 6 16755 yes No
subject_32 cow1 1 cow 1 6828 yes No
subject_33 apple2 1 apple 1 6890 yes No
subject_33 sandwich 2 food 3 3002 yes No
subject_33 deer 3 animal 1 4415 yes No
subject_33 buffle 2 animal 2 3900 yes No
subject_33 car 5 objects 7 9940 yes No
subject_33 cow1 1 cow 1 2914 yes No
subject_33 bird 4 animal 3 3631 yes No
subject_34 apple2 1 apple 1 4872 yes No
subject_34 sandwich 2 food 1 3777 yes No
subject_34 car 5 thing 9 9488 yes No
subject_34 cow1 1 cow 9 9335 yes No
subject_34 bird 4 animal 2 4356 yes No
subject_34 buffle 2 bovine 3 5102 yes No
subject_34 deer 3 animal 3 12367 yes No
subject_35 apple2 1 fruit 1 9111 yes No
subject_35 sandwich 2 food 1 3599 yes No
subject_35 cow1 1 cow 1 4943 yes No
subject_35 bird 4 animal 1 3846 yes No
subject_35 buffle 2 Animal 1 4750 yes No
subject_35 deer 3 brown 6 13863 yes No
subject_35 car 5 none 9 7014 yes No
subject_36 apple2 1 apple 1 4520  No
subject_36 sandwich 2 food 1 7493  No
subject_36 buffle 2 animal 1 11216  No
subject_36 bird 4 creature 3 5865  No
subject_36 car 5 none 9 20219  No
subject_36 cow1 1 cow 1 2532  No
subject_36 deer 3 animal 1 4257  No
subject_37 apple2 1 apple 1 8936 yes No
subject_37 sandwich 2 food 1 5008 yes No
subject_37 deer 3 animals 1 7711 yes No
subject_37 buffle 2 bovine 2 25092 yes No
subject_37 cow1 1 cow 1 3935 yes No
subject_37 car 5 none 9 8253 yes No
subject_37 bird 4 animals 5 26757 yes No
subject_38 apple2 1 apple 7 9283 yes No
subject_38 sandwich 2 apple 5 5108 yes No
subject_38 cow1 1 cow 9 3540 yes No
subject_38 car 5 cor 6 8572 yes No
subject_38 bird 4 cowd 7 10565 yes No
subject_38 buffle 2 animal 9 12204 yes No
subject_38 deer 3 animal 5 3653 yes No
subject_39 apple2 1 food 6 10995 yes No
subject_39 sandwich 2 food 1 4599 yes No
subject_39 car 5 none 9 12078 yes No
subject_39 bird 4 animal 1 4678 yes No
subject_39 buffle 2 cow 6 10328 yes No
subject_39 deer 3 animal 1 8332 yes No
subject_39 cow1 1 cow 1 4659 yes No
subject_40 apple2 1 food 1 3922 yes No
subject_40 sandwich 2 food 1 3834 yes No
subject_40 cow1 1 cow 1 3138 yes No
subject_40 car 5 none 9 4483 yes No
subject_40 bird 4 animal 1 2678 yes No
subject_40 deer 3 animal 1 2465 yes No
subject_40 buffle 2 animal 1 2147 yes No
